iter	Passed	Remaining
0	51	51071
1	51	25885
2	52	17431
3	52	13185
4	53	10627
5	53	8935
6	54	7726
7	55	6824
8	55	6107
9	55	5538
10	56	5070
11	56	4678
12	57	4355
13	58	4091
14	58	3866
15	59	3648
16	59	3459
17	60	3285
18	60	3130
19	61	2993
20	61	2870
21	62	2763
22	62	2656
23	62	2557
24	63	2470
25	63	2392
26	64	2323
27	65	2258
28	65	2196
29	66	2145
30	66	2088
31	67	2044
32	68	1998
33	68	1955
34	69	1915
35	70	1877
36	70	1841
37	71	1807
38	72	1775
39	72	1744
40	73	1715
41	73	1686
42	74	1659
43	75	1633
44	75	1609
45	76	1589
46	79	1602
47	79	1581
48	80	1559
49	80	1538
50	81	1517
51	82	1497
52	82	1479
53	83	1468
54	84	1457
55	85	1440
56	86	1422
57	86	1407
58	87	1391
59	87	1375
60	88	1361
61	89	1348
62	89	1336
63	90	1323
64	91	1309
65	92	1301
66	92	1288
67	93	1274
68	93	1261
69	94	1250
70	94	1236
71	94	1223
72	95	1211
73	95	1199
74	96	1187
75	96	1177
76	97	1166
77	97	1155
78	98	1145
79	98	1135
80	99	1125
81	99	1114
82	99	1102
83	100	1092
84	100	1083
85	101	1074
86	101	1065
87	101	1055
88	102	1047
89	102	1038
90	103	1029
91	103	1021
92	104	1015
93	104	1008
94	105	1003
95	105	996
96	106	990
97	106	983
98	107	977
99	107	970
100	108	964
101	108	957
102	109	950
103	109	944
104	110	939
105	110	933
106	111	927
107	111	922
108	112	917
109	112	913
110	113	908
111	113	902
112	114	897
113	114	891
114	115	885
115	115	880
116	115	874
117	116	868
118	116	863
119	117	859
120	117	854
121	117	849
122	118	844
123	118	840
124	119	835
125	119	832
126	120	827
127	120	822
128	121	818
129	121	814
130	122	810
131	122	806
132	123	803
133	123	799
134	124	796
135	124	792
136	125	789
137	125	785
138	126	782
139	126	778
140	127	774
141	127	769
142	127	766
143	128	762
144	128	758
145	129	755
146	129	751
147	129	748
148	130	745
149	130	741
150	131	738
151	131	735
152	132	732
153	132	728
154	133	725
155	133	722
156	133	718
157	134	715
158	134	712
159	135	709
160	135	705
161	135	702
162	136	699
163	136	696
164	137	693
165	137	691
166	138	688
167	138	686
168	139	684
169	139	681
170	139	678
171	140	675
172	140	672
173	141	669
174	141	666
175	141	664
176	142	661
177	142	658
178	143	656
179	143	653
180	143	651
181	144	648
182	144	646
183	145	643
184	145	641
185	146	639
186	146	637
187	146	634
188	147	632
189	148	631
190	148	629
191	149	627
192	149	625
193	150	623
194	150	622
195	151	620
196	151	619
197	152	618
198	153	616
199	153	615
200	154	613
201	154	611
202	155	610
203	155	607
204	156	605
205	156	604
206	157	603
207	158	601
208	158	600
209	159	598
210	159	596
211	159	594
212	160	592
213	160	590
214	161	588
215	161	586
216	161	584
217	162	582
218	162	580
219	163	579
220	163	577
221	164	576
222	164	574
223	165	572
224	165	571
225	166	569
226	167	570
227	168	568
228	168	567
229	168	565
230	169	564
231	169	562
232	170	561
233	171	561
234	172	560
235	172	558
236	172	556
237	173	555
238	173	553
239	174	552
240	174	550
241	175	549
242	175	547
243	176	546
244	176	545
245	177	544
246	178	543
247	178	541
248	179	540
249	179	539
250	180	537
251	180	535
252	180	534
253	181	532
254	181	530
255	182	529
256	182	527
257	182	525
258	183	524
259	183	523
260	184	522
261	185	521
262	185	520
263	185	518
264	186	516
265	186	515
266	187	513
267	187	511
268	187	510
269	188	509
270	188	507
271	189	506
272	189	505
273	190	504
274	191	503
275	191	502
276	192	501
277	192	500
278	193	499
279	193	497
280	194	497
281	194	495
282	195	494
283	195	493
284	196	492
285	196	490
286	197	489
287	197	489
288	198	487
289	198	486
290	199	485
291	199	484
292	200	483
293	200	481
294	200	480
295	201	479
296	202	478
297	202	478
298	203	477
299	203	475
300	204	475
301	204	473
302	205	472
303	205	471
304	206	469
305	206	468
306	207	467
307	207	467
308	208	465
309	208	464
310	209	463
311	209	462
312	210	461
313	210	460
314	211	459
315	211	458
316	212	457
317	212	455
318	213	454
319	213	453
320	213	452
321	214	451
322	214	449
323	215	448
324	215	448
325	216	446
326	216	445
327	216	444
328	217	443
329	217	441
330	217	440
331	218	439
332	218	438
333	219	437
334	219	435
335	220	434
336	220	433
337	220	432
338	221	431
339	221	430
340	221	428
341	222	427
342	222	426
343	223	425
344	223	424
345	224	423
346	224	422
347	224	421
348	225	420
349	225	419
350	226	418
351	227	418
352	227	417
353	228	416
354	228	415
355	229	414
356	229	413
357	230	412
358	230	411
359	231	410
360	231	410
361	232	409
362	232	408
363	233	407
364	233	406
365	234	405
366	234	404
367	235	403
368	235	402
369	235	401
370	236	400
371	236	399
372	237	399
373	237	397
374	244	407
375	245	407
376	245	406
377	246	405
378	246	404
379	247	403
380	247	402
381	248	401
382	248	400
383	248	399
384	249	398
385	249	397
386	250	396
387	250	395
388	251	394
389	251	393
390	251	392
391	252	391
392	252	390
393	253	389
394	253	388
395	254	387
396	254	386
397	255	385
398	255	384
399	255	383
400	256	382
401	256	381
402	256	380
403	257	379
404	257	378
405	258	377
406	258	376
407	258	375
408	259	374
409	259	373
410	259	372
411	260	371
412	260	370
413	261	369
414	261	368
415	262	367
416	262	366
417	262	365
418	263	364
419	263	363
420	264	363
421	264	362
422	264	361
423	265	360
424	265	359
425	266	358
426	266	357
427	266	356
428	267	355
429	267	354
430	267	353
431	268	352
432	268	351
433	268	350
434	269	349
435	269	349
436	270	348
437	270	347
438	271	346
439	271	345
440	272	344
441	272	343
442	272	343
443	273	342
444	273	341
445	274	340
446	274	339
447	275	338
448	275	338
449	276	337
450	276	336
451	276	335
452	277	334
453	277	333
454	278	333
455	278	332
456	278	331
457	279	330
458	279	329
459	280	328
460	280	327
461	280	327
462	281	326
463	281	325
464	282	324
465	282	323
466	282	322
467	283	322
468	283	321
469	284	320
470	284	319
471	285	319
472	285	318
473	286	317
474	286	316
475	286	315
476	287	314
477	287	314
478	288	313
479	288	312
480	288	311
481	289	310
482	289	310
483	290	309
484	290	308
485	290	307
486	291	306
487	291	306
488	292	305
489	292	304
490	292	303
491	293	302
492	293	301
493	294	301
494	294	300
495	294	299
496	295	298
497	295	297
498	295	297
499	296	296
500	296	295
501	297	294
502	297	293
503	297	293
504	298	292
505	298	291
506	299	290
507	299	290
508	300	289
509	300	288
510	300	287
511	301	287
512	301	286
513	301	285
514	302	284
515	302	283
516	302	283
517	303	282
518	303	281
519	304	280
520	304	280
521	304	279
522	305	278
523	305	277
524	305	276
525	306	276
526	306	275
527	307	274
528	307	273
529	307	272
530	308	272
531	308	271
532	308	270
533	309	269
534	309	269
535	309	268
536	310	267
537	310	266
538	311	266
539	311	265
540	311	264
541	312	263
542	312	263
543	313	262
544	313	261
545	314	261
546	314	260
547	315	259
548	315	259
549	316	258
550	316	258
551	317	257
552	317	256
553	317	255
554	318	255
555	318	254
556	319	253
557	319	253
558	319	252
559	320	251
560	320	250
561	321	250
562	321	249
563	321	248
564	322	248
565	322	247
566	323	246
567	323	245
568	323	245
569	324	244
570	324	243
571	324	243
572	325	242
573	325	241
574	326	241
575	326	240
576	327	239
577	327	239
578	328	238
579	328	237
580	329	237
581	329	236
582	329	235
583	330	235
584	330	234
585	331	234
586	331	233
587	332	232
588	332	232
589	333	231
590	333	230
591	334	230
592	334	229
593	335	229
594	335	228
595	335	227
596	336	227
597	336	226
598	337	225
599	337	225
600	338	224
601	338	223
602	338	223
603	339	222
604	339	221
605	340	221
606	340	220
607	340	219
608	341	219
609	341	218
610	341	217
611	342	216
612	342	216
613	342	215
614	343	214
615	343	214
616	343	213
617	344	212
618	344	212
619	345	211
620	345	210
621	345	210
622	346	209
623	346	208
624	347	208
625	347	207
626	347	206
627	348	206
628	348	205
629	348	204
630	349	204
631	349	203
632	349	202
633	350	202
634	350	201
635	350	200
636	351	200
637	351	199
638	351	198
639	352	198
640	352	197
641	353	196
642	353	196
643	353	195
644	354	195
645	355	194
646	355	194
647	356	193
648	356	192
649	357	192
650	357	191
651	358	191
652	359	190
653	359	190
654	360	189
655	360	189
656	360	188
657	361	187
658	361	187
659	361	186
660	362	185
661	362	185
662	362	184
663	363	183
664	363	183
665	364	182
666	364	181
667	365	181
668	365	180
669	366	180
670	366	179
671	367	179
672	367	178
673	367	177
674	368	177
675	368	176
676	369	176
677	369	175
678	369	174
679	370	174
680	370	173
681	371	173
682	371	172
683	371	171
684	372	171
685	372	170
686	373	170
687	373	169
688	374	168
689	374	168
690	375	167
691	375	167
692	376	166
693	376	166
694	376	165
695	377	164
696	377	164
697	378	163
698	378	162
699	379	162
700	379	161
701	379	161
702	380	160
703	380	160
704	381	159
705	381	158
706	382	158
707	382	157
708	383	157
709	383	156
710	383	155
711	384	155
712	384	154
713	384	154
714	385	153
715	385	152
716	385	152
717	386	151
718	386	151
719	386	150
720	387	149
721	387	149
722	388	148
723	388	148
724	389	147
725	389	147
726	390	146
727	390	145
728	391	145
729	391	144
730	392	144
731	392	143
732	392	143
733	393	142
734	393	141
735	394	141
736	394	140
737	394	140
738	395	139
739	395	139
740	395	138
741	396	137
742	397	137
743	397	136
744	397	136
745	398	135
746	398	135
747	399	134
748	400	134
749	400	133
750	401	132
751	401	132
752	402	131
753	402	131
754	403	130
755	403	130
756	404	129
757	404	129
758	405	128
759	405	128
760	406	127
761	406	127
762	407	126
763	408	126
764	408	125
765	409	125
766	409	124
767	410	123
768	410	123
769	411	122
770	411	122
771	412	121
772	412	121
773	413	120
774	413	120
775	414	119
776	414	119
777	415	118
778	415	117
779	416	117
780	416	116
781	417	116
782	418	115
783	418	115
784	419	114
785	419	114
786	420	113
787	420	113
788	421	112
789	421	112
790	421	111
791	422	110
792	422	110
793	423	109
794	423	109
795	423	108
796	424	108
797	424	107
798	425	106
799	425	106
800	425	105
801	426	105
802	426	104
803	426	104
804	427	103
805	427	102
806	428	102
807	428	101
808	428	101
809	429	100
810	429	100
811	430	99
812	430	98
813	430	98
814	431	97
815	431	97
816	431	96
817	432	96
818	432	95
819	433	95
820	433	94
821	433	93
822	434	93
823	434	92
824	435	92
825	435	91
826	435	91
827	436	90
828	436	90
829	437	89
830	437	88
831	437	88
832	438	87
833	438	87
834	439	86
835	440	86
836	440	85
837	441	85
838	441	84
839	442	84
840	442	83
841	443	83
842	444	82
843	444	82
844	445	81
845	445	81
846	445	80
847	446	79
848	446	79
849	446	78
850	447	78
851	447	77
852	448	77
853	448	76
854	449	76
855	449	75
856	449	75
857	450	74
858	450	73
859	451	73
860	452	72
861	452	72
862	452	71
863	453	71
864	453	70
865	454	70
866	454	69
867	454	69
868	455	68
869	455	68
870	455	67
871	456	66
872	456	66
873	457	65
874	457	65
875	458	64
876	458	64
877	458	63
878	459	63
879	459	62
880	460	62
881	460	61
882	461	61
883	461	60
884	462	60
885	462	59
886	463	59
887	463	58
888	463	57
889	464	57
890	464	56
891	465	56
892	465	55
893	465	55
894	466	54
895	466	54
896	467	53
897	467	53
898	467	52
899	468	52
900	468	51
901	468	50
902	469	50
903	469	49
904	469	49
905	470	48
906	470	48
907	471	47
908	471	47
909	472	46
910	472	46
911	472	45
912	473	45
913	473	44
914	473	44
915	474	43
916	474	42
917	475	42
918	475	41
919	475	41
920	476	40
921	476	40
922	476	39
923	477	39
924	477	38
925	477	38
926	478	37
927	478	37
928	479	36
929	479	36
930	480	35
931	480	35
932	481	34
933	481	34
934	482	33
935	482	33
936	483	32
937	483	31
938	483	31
